cruise_id	n_files	lon_min	lon_max	lat_min	lat_max	lon_center	lat_center	total_lines	n_keep	n_review	n_hv_review	n_exclude
KY13-16	10	133.101753	139.541349	31.142814	35.054901	136.3	33.1	3399269.0	10	0	0	0
KY09-08	10	138.567655	142.595663	27.63402	31.814424	140.6	29.7	4345355.0	10	0	0	0
KY04-07	10	143.923505	144.870666	41.078607	42.293248	144.4	41.7	2979159.0	10	0	0	0
KR05-10	10	139.700439	152.956946	34.838437	41.521017	146.3	38.2	5970534.0	10	0	0	0
KR05-17	10	142.653477	150.427903	17.259358	20.015223	146.5	18.6	4291766.0	9	0	1	0
KY02-01	10	123.060441	124.856074	22.7734	24.263184	124.0	23.5	8266144.0	10	0	0	0
KR06-13	10	136.920391	142.258365	20.862103	29.990029	139.6	25.4	6964016.0	10	0	0	0
KR09-09	10	136.073217	138.248802	37.447701	39.115309	137.2	38.3	14894349.0	10	0	0	0
KY14-09	10	140.327826	145.841143	27.970446	37.229868	143.1	32.6	2648701.0	10	0	0	0
KY14-03	10	123.383131	137.364286	23.546066	34.107065	130.4	28.8	4072563.0	10	0	0	0
KR02-06	10	132.051849	144.111061	31.765986	42.449119	138.1	37.1	10649158.0	10	0	0	0
KR02-08	10	142.691145	160.436316	38.215636	41.545631	151.6	39.9	4046557.0	10	0	0	0
KY14-04	10	134.471228	138.230367	33.160139	34.568641	136.4	33.9	3649654.0	10	0	0	0
KR11-11	9	139.650229	143.942718	28.921054	34.882354	141.8	31.9	3280202.0	0	0	9	0
KY13-E02	9	127.027929	138.826973	26.445027	34.497406	132.9	30.5	5289944.0	9	0	0	0
KR12-07	9	139.114871	142.754485	34.862137	42.477313	140.9	38.7	7016164.0	9	0	0	0
KR12-08	9	140.978727	144.843528	35.846113	42.406354	142.9	39.1	6370067.0	9	0	0	0
KR02-07	9	142.138397	145.164585	38.436731	42.659585	143.7	40.5	4896951.0	9	0	0	0
KY06-08	9	138.669634	141.16532	30.200053	33.289154	139.9	31.7	5505846.0	9	0	0	0
KY13-15	9	138.381925	139.579696	34.577449	35.153123	139.0	34.9	2200885.0	9	0	0	0
KY12-14	9	136.125107	138.757398	32.786007	34.58686	137.4	33.7	892711.0	9	0	0	0
MR02-K02	9	142.386156	156.014508	7.924591	41.279588	149.2	24.6	4141872.0	9	0	0	0
KY11-07	9	135.053261	139.451956	33.290952	35.211325	137.3	34.3	2429904.0	9	0	0	0
KR02-15	9	140.514125	153.926119	33.838438	40.485638	147.2	37.2	639338.0	9	0	0	0
KY12-10	9	137.808375	142.36577	34.817906	41.643726	140.1	38.2	3936908.0	9	0	0	0
KY11-E02	9	139.2694	143.009543	27.535628	34.818826	141.1	31.2	3666287.0	9	0	0	0
KR11-02	9	139.038307	140.581025	31.829674	35.027515	139.8	33.4	5225303.0	0	0	9	0
KR12-03	8	126.983345	139.653147	26.544318	35.030879	133.3	30.8	6585801.0	8	0	0	0
KY08-08	8	139.192311	141.026714	32.288153	32.511195	140.1	32.4	3810973.0	8	0	0	0
KY08-04	8	135.692527	141.889093	31.566961	31.800197	138.8	31.7	4374871.0	8	0	0	0
KR05-05	8	132.771552	139.659488	25.388396	35.050762	136.2	30.2	3942957.0	8	0	0	0
KY10-12	8	135.14125	139.599226	33.384668	35.099581	137.4	34.2	2077284.0	8	0	0	0
KY13-11	8	133.605702	139.037635	31.533932	34.485785	136.3	33.0	2619914.0	8	0	0	0
KR02-09	8	142.402702	145.299107	35.808511	40.119762	143.9	38.0	1042677.0	8	0	0	0
KY03-09	8	124.08486	134.249803	23.800687	33.183819	129.2	28.5	1817052.0	8	0	0	0
KR06-16	8	147.934861	151.795847	-0.222287	5.267767	149.9	2.5	3548795.0	8	0	0	0
KR11-E01	8	139.182962	141.86596	31.80678	35.078572	140.5	33.4	2334896.0	8	0	0	0
KY02-11	8	122.637465	139.243017	24.113693	35.010404	130.9	29.6	5066341.0	8	0	0	0
KR08-07	8	141.13069	143.372858	26.641677	32.848939	142.3	29.7	2647096.0	8	0	0	0
KR02-12	7	134.560338	137.067928	18.62072	25.802995	135.8	22.2	1130908.0	7	0	0	0
KY03-ENG	7	134.987565	138.672379	32.79719	34.152386	136.8	33.5	1624129.0	7	0	0	0
KY14-01	7	126.860936	139.361053	26.882011	35.005549	133.1	30.9	4066011.0	7	0	0	0
