file_id	input_path	n_cells_in	n_points_in	status	notes
KY12-08_bathymetry_dmo::20120616.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120616.parquet	818	366979	ok	
KY12-08_bathymetry_dmo::T20120519.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120519.parquet	541	761296	ok	
KY12-08_bathymetry_dmo::T20120701.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120701.parquet	1406	413371	ok	
KY12-08_bathymetry_dmo::20120611.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__20120611.parquet	1030	470161	ok	
KY12-08_bathymetry_dmo::T20120703.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120703.parquet	1014	586223	ok	
KY12-08_bathymetry_dmo::T20120522.dat	derived/file_cells_1min/KY12-08_bathymetry_dmo__T20120522.parquet	463	1163958	ok	
KR12-13_bathymetry_dmo::20120810.dat	derived/file_cells_1min/KR12-13_bathymetry_dmo__20120810.parquet	8	162014	ok	
KR12-13_bathymetry_dmo::20120811.dat	derived/file_cells_1min/KR12-13_bathymetry_dmo__20120811.parquet	131	99816	ok	
KR12-13_bathymetry_dmo::T20120813.dat	derived/file_cells_1min/KR12-13_bathymetry_dmo__T20120813.parquet	225	1183878	ok	
KR12-13_bathymetry_dmo::20120812.dat	derived/file_cells_1min/KR12-13_bathymetry_dmo__20120812.parquet	727	857307	ok	
KS-20-17_bathymetry_dmo::KS-20-17.dat	derived/file_cells_1min/KS-20-17_bathymetry_dmo__KS-20-17.parquet	816	110189	ok	
KS-20-17_bathymetry_dmo::KS-20-17_t.dat	derived/file_cells_1min/KS-20-17_bathymetry_dmo__KS-20-17_t.parquet	326	64819	ok	
KR13-15_bathymetry_dmo::KR13-15_bathymetry_dmo/2_OpenCheckData/KR13-15/KR13-15.dat	derived/file_cells_1min/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15__KR13-15.parquet	3440	575735	ok	
KR13-15_bathymetry_dmo::KR13-15_bathymetry_dmo/2_OpenCheckData/KR13-15_transit/KR13-15_t.dat	derived/file_cells_1min/KR13-15_bathymetry_dmo__KR13-15_bathymetry_dmo__2_OpenCheckData__KR13-15_transit__KR13-15_t.parquet	3937	684129	ok	
KR01-07_bathymetry_dmo::20010427.dat	derived/file_cells_1min/KR01-07_bathymetry_dmo__20010427.parquet	280	59738	ok	
KR01-07_bathymetry_dmo::20010506.dat	derived/file_cells_1min/KR01-07_bathymetry_dmo__20010506.parquet	294	252848	ok	
KR01-07_bathymetry_dmo::20010507.dat	derived/file_cells_1min/KR01-07_bathymetry_dmo__20010507.parquet	233	169621	ok	
KR01-07_bathymetry_dmo::20010428.dat	derived/file_cells_1min/KR01-07_bathymetry_dmo__20010428.parquet	737	404791	ok	
MR00-K07_leg4_bathymetry_dmo::20001217.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001217.parquet	2135	624366	ok	
MR00-K07_leg4_bathymetry_dmo::20001216.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001216.parquet	1771	418775	ok	
MR00-K07_leg4_bathymetry_dmo::20001218.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001218.parquet	1633	867346	ok	
MR00-K07_leg4_bathymetry_dmo::20001219.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001219.parquet	603	497889	ok	
MR00-K07_leg4_bathymetry_dmo::20001215.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001215.parquet	2828	628787	ok	
MR00-K07_leg4_bathymetry_dmo::20001214.dat	derived/file_cells_1min/MR00-K07_leg4_bathymetry_dmo__20001214.parquet	1750	614072	ok	
KS-19-J04_bathymetry_dmo::KS-19-J04_t.dat	derived/file_cells_1min/KS-19-J04_bathymetry_dmo__KS-19-J04_t.parquet	853	208971	ok	
KS-19-J04_bathymetry_dmo::KS-19-J04.dat	derived/file_cells_1min/KS-19-J04_bathymetry_dmo__KS-19-J04.parquet	319	75725	ok	
KY14-03_bathymetry_dmo::T20140226.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__T20140226.parquet	128	167756	ok	
KY14-03_bathymetry_dmo::20140218.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__20140218.parquet	285	453408	ok	
KY14-03_bathymetry_dmo::T20140223.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__T20140223.parquet	493	691054	ok	
KY14-03_bathymetry_dmo::T20140217.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__T20140217.parquet	74	161204	ok	
KY14-03_bathymetry_dmo::20140222.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__20140222.parquet	401	313100	ok	
KY14-03_bathymetry_dmo::T20140224.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__T20140224.parquet	544	986650	ok	
KY14-03_bathymetry_dmo::T20140225.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__T20140225.parquet	292	332733	ok	
KY14-03_bathymetry_dmo::20140221.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__20140221.parquet	373	553147	ok	
KY14-03_bathymetry_dmo::20140219.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__20140219.parquet	59	175456	ok	
KY14-03_bathymetry_dmo::20140217.dat	derived/file_cells_1min/KY14-03_bathymetry_dmo__20140217.parquet	100	238055	ok	
KY12-01_leg2_bathymetry_dmo::20120122.dat	derived/file_cells_1min/KY12-01_leg2_bathymetry_dmo__20120122.parquet	228	661118	ok	
