file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind
KR11-05_leg2_bathymetry_dmo::darwin-data-kairei-kr11-05_leg2-bathymetry_j.pdf	KR11-05_leg2_bathymetry_dmo	KR11-05_leg2_bathymetry_dmo/darwin-data-kairei-kr11-05_leg2-bathymetry_j.pdf	darwin-data-kairei-kr11-05_leg2-bathymetry_j.pdf	.pdf	851234												non_dat			False	unknown_or_non_bathymetry									
KR11-05_leg2_bathymetry_dmo::terms_conditions_jp.pdf	KR11-05_leg2_bathymetry_dmo	KR11-05_leg2_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR03-05_leg2_bathymetry_dmo::darwin-data-kairei-kr03-05_leg2-bathymetry_j.pdf	KR03-05_leg2_bathymetry_dmo	KR03-05_leg2_bathymetry_dmo/darwin-data-kairei-kr03-05_leg2-bathymetry_j.pdf	darwin-data-kairei-kr03-05_leg2-bathymetry_j.pdf	.pdf	971092												non_dat			False	unknown_or_non_bathymetry									
KR03-05_leg2_bathymetry_dmo::terms_conditions_eng.pdf	KR03-05_leg2_bathymetry_dmo	KR03-05_leg2_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR03-05_leg2_bathymetry_dmo::terms_conditions_jp.pdf	KR03-05_leg2_bathymetry_dmo	KR03-05_leg2_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR03-05_leg2_bathymetry_dmo::darwin-data-kairei-kr03-05_leg2-bathymetry_e.pdf	KR03-05_leg2_bathymetry_dmo	KR03-05_leg2_bathymetry_dmo/darwin-data-kairei-kr03-05_leg2-bathymetry_e.pdf	darwin-data-kairei-kr03-05_leg2-bathymetry_e.pdf	.pdf	866110												non_dat			False	unknown_or_non_bathymetry									
KR20-03_leg2_bathymetry_dmo::terms_conditions_eng.pdf	KR20-03_leg2_bathymetry_dmo	KR20-03_leg2_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR20-03_leg2_bathymetry_dmo::darwin-data-kairei-kr20-03_leg2-bathymetry_j.pdf	KR20-03_leg2_bathymetry_dmo	KR20-03_leg2_bathymetry_dmo/darwin-data-kairei-kr20-03_leg2-bathymetry_j.pdf	darwin-data-kairei-kr20-03_leg2-bathymetry_j.pdf	.pdf	927044												non_dat			False	unknown_or_non_bathymetry									
KR20-03_leg2_bathymetry_dmo::terms_conditions_jp.pdf	KR20-03_leg2_bathymetry_dmo	KR20-03_leg2_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR20-03_leg2_bathymetry_dmo::darwin-data-kairei-kr20-03_leg2-bathymetry_e.pdf	KR20-03_leg2_bathymetry_dmo	KR20-03_leg2_bathymetry_dmo/darwin-data-kairei-kr20-03_leg2-bathymetry_e.pdf	darwin-data-kairei-kr20-03_leg2-bathymetry_e.pdf	.pdf	826120												non_dat			False	unknown_or_non_bathymetry									
