file_id	input_path	output_path	rows_read	rows_written	qc_pass_count	qc_fail_count	qc_pass_rate	fail_lon	fail_lat	fail_depth_positive	fail_depth_extreme	fail_elev_negative	fail_nan	fail_zero_depth	status	notes
KR01-07_bathymetry_dmo::20010507.dat	derived/points_raw/KR01-07_bathymetry_dmo__20010507.parquet	derived/points_qc/KR01-07_bathymetry_dmo__20010507.parquet	169621	169621	169621	0	1.0	0	0	0	0	0	0	0	ok	
KR01-07_bathymetry_dmo::20010428.dat	derived/points_raw/KR01-07_bathymetry_dmo__20010428.parquet	derived/points_qc/KR01-07_bathymetry_dmo__20010428.parquet	404791	404791	404791	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001217.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001217.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001217.parquet	624366	624366	624366	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001216.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001216.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001216.parquet	418775	418775	418775	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001218.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001218.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001218.parquet	867346	867346	867346	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001219.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001219.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001219.parquet	497889	497889	497889	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001215.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001215.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001215.parquet	628787	628787	628787	0	1.0	0	0	0	0	0	0	0	ok	
MR00-K07_leg4_bathymetry_dmo::20001214.dat	derived/points_raw/MR00-K07_leg4_bathymetry_dmo__20001214.parquet	derived/points_qc/MR00-K07_leg4_bathymetry_dmo__20001214.parquet	614072	614072	614072	0	1.0	0	0	0	0	0	0	0	ok	
KS-19-J04_bathymetry_dmo::KS-19-J04_t.dat	derived/points_raw/KS-19-J04_bathymetry_dmo__KS-19-J04_t.parquet	derived/points_qc/KS-19-J04_bathymetry_dmo__KS-19-J04_t.parquet	208971	208971	208971	0	1.0	0	0	0	0	0	0	0	ok	
KS-19-J04_bathymetry_dmo::KS-19-J04.dat	derived/points_raw/KS-19-J04_bathymetry_dmo__KS-19-J04.parquet	derived/points_qc/KS-19-J04_bathymetry_dmo__KS-19-J04.parquet	75725	75725	75725	0	1.0	0	0	0	0	0	0	0	ok	
KY14-03_bathymetry_dmo::T20140226.dat	derived/points_raw/KY14-03_bathymetry_dmo__T20140226.parquet	derived/points_qc/KY14-03_bathymetry_dmo__T20140226.parquet	167756	167756	167756	0	1.0	0	0	0	0	0	0	0	ok	
