ship_code	cruise_id_guess	n_files	n_subzips	lon_min	lon_max	lat_min	lat_max	n_keep	n_exclude
KR	KR04-11	6	1	141.786207	142.542044	26.795211	28.004765	4	0
KR	KR05-07	6	1	142.508024	144.102334	37.904916	38.594222	6	0
KR	KR05-11	6	1	139.559647	140.136819	31.675472	32.202049	6	0
KR	KR07-07	6	1	142.789059	145.423538	37.594519	38.789145	6	0
KR	KR08-E03	6	1	139.527829	141.882821	28.818321	32.172752	6	0
KR	KR09-02	6	1	136.527701	136.722416	33.194145	33.337575	6	0
KR	KR09-07	6	1	139.507095	143.751961	33.436394	35.016688	6	0
KR	KR09-12	6	2	134.866364	137.024439	32.297967	33.117477	6	0
KR	KR11-12	6	1	134.619808	139.649533	32.168334	35.077084	6	0
KR	KR12-04	6	1	137.129922	139.777101	33.836287	35.021292	6	0
KR	KR12-05	6	1	138.535678	139.525095	34.550923	35.179726	0	0
KR	KR12-17	6	1	134.620523	139.623969	31.911972	35.049242	6	0
KR	KR13-03	6	1	136.919154	139.63357	25.269825	34.861571	6	0
KR	KR15-11	6	3	128.943085	139.163334	28.497603	38.179218	6	0
KR	KR02-03	5	1	131.38059	135.685792	18.652446	22.706408	5	0
KR	KR05-03	5	2	126.986994	128.240795	23.936551	25.980456	5	0
KR	KR06-06	5	1	134.250496	136.746714	18.442146	32.999735	5	0
KR	KR09-16	5	1	143.048494	147.261888	37.92762	40.324644	5	0
KR	KR09-17	5	1	144.059307	150.106192	38.254348	39.194395	5	0
KR	KR10-02	5	1	126.614724	129.668853	27.541451	31.862109	5	0
KR	KR10-E01	5	1	136.949018	139.62735	25.775259	34.837279	5	0
KR	KR12-02	5	1	126.803988	127.759243	26.51541	28.006945	0	0
KR	KR12-19	5	1	141.449629	142.854773	35.771983	37.298368	5	0
KR	KR13-02	5	1	149.957687	154.223003	21.612598	23.550183	5	0
KR	KR16-05	5	3	153.35894	164.818114	-28.037071	-14.603252	5	0
KR	KR01-07	4	1	134.306394	135.245388	32.169336	33.468148	4	0
KR	KR03-05	4	2	134.41842	136.857666	31.995179	32.964884	4	0
KR	KR04-05	4	1	135.988803	139.61351	32.347239	35.038848	4	0
KR	KR04-13	4	1	139.295528	140.087933	31.101455	34.518829	4	0
KR	KR05-08	4	1	144.099332	160.480701	38.45041	41.560712	4	0
KR	KR05-09	4	1	137.667391	139.245736	41.589337	43.937202	4	0
KR	KR05-13	4	1	134.487609	138.161039	32.263729	34.28537	4	0
KR	KR06-09	4	1	142.297127	144.571728	32.570516	34.425186	4	0
KR	KR09-10	4	1	139.337175	141.499494	34.401721	35.108735	4	0
KR	KR09-11	4	1	135.029217	137.378465	25.509399	30.216568	4	0
KR	KR10-01	4	1	139.199718	139.54916	34.955368	35.224904	4	0
KR	KR10-03	4	1	122.623641	124.275435	23.981531	25.00549	4	0
KR	KR10-E03	4	1	140.100579	143.22896	29.911689	34.099407	4	0
KR	KR10-E04	4	1	139.792618	144.396552	34.780451	39.180866	4	0
KR	KR12-06	4	1	138.348687	139.114312	34.531948	35.034307	4	0
KR	KR12-13	4	1	139.212794	141.622303	33.552371	36.853116	4	0
KR	KR16-01	4	2	138.972434	154.021923	20.089612	35.01473	4	0
KR	KR17-04	4	2	140.56352	146.762907	35.134581	38.297068	4	0
KR	KR19-E03	4	2	133.664501	139.815276	31.905845	35.020407	4	0
KR	KR01-15	3	1	139.799646	140.936941	28.441807	32.153236	3	0
KR	KR02-10	3	1	134.927909	137.50194	32.300441	32.937809	3	0
KR	KR03-08	3	1	145.951415	160.129444	39.934897	41.185795	3	0
KR	KR08-03	3	1	136.630711	141.924451	33.249595	34.356688	3	0
KR	KR09-01	3	1	135.605678	138.549188	31.995166	33.930306	3	0
KR	KR09-15	3	1	136.354475	136.816599	33.010862	33.330587	3	0
KR	KR17-11	3	2	138.542412	141.772851	33.080758	35.033051	3	0
KR	KR17-14	3	2	-157.103327	-149.407982	22.615751	25.186602	3	0
KR	KR17-15C	3	3	153.698612	162.490199	-27.988789	-26.026186	3	0
KR	KR20-03	3	2	135.196296	141.879097	33.253566	35.054709	3	0
KR	KR06-12	2	1	143.076031	149.452504	16.014849	20.025764	2	0
KR	KR07-14	2	1	143.350882	144.378763	39.053201	40.167382	2	0
KR	KR07-15	2	1	136.296125	136.938329	33.270838	33.712639	2	0
KR	KR08-02	2	1	135.255407	135.660627	32.306672	32.799921	2	0
KR	KR08-05	2	1	142.578853	142.827425	11.281162	11.458666	2	0
KR	KR09-03	2	1	139.171278	139.274473	34.935263	35.039879	2	0
KR	KR12-09	2	1	139.161259	139.809739	34.211384	35.029836	2	0
KR	KR13-11	2	1	140.256746	144.856385	34.823713	40.227252	2	0
KR	KR13-12	2	1	140.828873	147.344519	34.932702	40.186952	2	0
KR	KR13-13	2	1	139.216142	142.51489	33.42244	35.057246	2	0
KR	KR13-14	2	1	128.005511	142.042121	25.940096	33.843581	2	0
KR	KR13-15	2	1	129.076633	134.879623	25.713148	33.754628	2	0
KR	KR13-16	2	1	139.20545	142.941542	33.714043	35.100614	2	0
KR	KR13-17	2	1	133.66496	139.550306	32.772826	35.014604	2	0
KR	KR13-18	2	1	123.367676	139.69371	21.732119	35.05213	2	0
KR	KR13-19	2	1	138.969603	139.93371	31.938639	35.221278	2	0
KR	KR14-01	2	1	139.637709	142.674433	10.192498	34.845184	2	0
KR	KR14-02	2	1	139.209709	155.105386	15.149541	35.14596	2	0
KR	KR14-05	2	1	132.654673	139.280439	30.650924	34.847121	2	0
KR	KR14-06	2	1	139.680382	171.061034	27.379089	34.978485	2	0
KR	KR14-07	2	1	140.287696	166.687525	33.950388	39.347257	2	0
KR	KR14-08	2	1	133.038016	140.324824	35.780135	41.328852	2	0
KR	KR14-09	2	1	139.218344	144.744114	34.774821	39.176933	2	0
KR	KR14-10	2	1	139.791355	165.500863	28.984504	41.087755	2	0
KR	KR14-E02	2	1	140.859275	148.247206	35.345057	38.308467	2	0
KR	KR14-E03	2	1	141.127008	144.630563	36.255043	39.692864	2	0
KR	KR14-E05	2	1	134.330103	139.660968	32.813883	35.037599	2	0
KR	KR15-01	2	1	139.850848	143.001909	33.61462	34.83534	2	0
KR	KR15-03	2	1	134.133491	141.066447	19.274957	35.025237	2	0
KR	KR15-04	2	1	134.588022	138.876978	32.25237	34.519959	2	0
KR	KR15-06	2	1	135.271593	141.737768	33.250795	35.019423	2	0
KR	KR15-08	2	1	136.13131	139.442713	32.767711	34.950609	2	0
KR	KR15-09	2	1	138.519596	139.572861	34.312118	35.083986	2	0
KR	KR15-10	2	1	134.925757	142.298	35.758203	41.626782	2	0
KR	KR15-13	2	1	139.414901	141.763352	33.317082	35.158436	2	0
KR	KR15-14	2	1	140.022321	156.11942	34.875972	38.930678	2	0
KR	KR15-15	2	1	140.577507	144.120397	35.131296	38.143201	1	0
KR	KR15-16	2	1	123.632663	127.573009	24.169805	27.041988	2	0
KR	KR15-17	2	1	126.954307	127.890278	26.3047	27.875207	2	0
KR	KR15-18	2	1	122.906955	128.81665	22.981506	26.328849	2	0
KR	KR15-19	2	1	131.106085	140.933749	26.020281	34.574107	2	0
KR	KR15-20	2	1	138.532436	139.748795	31.636693	35.042012	2	0
KR	KR15-21	2	1	128.92916	139.066914	27.708114	34.633902	2	0
KR	KR15-E01	2	1	139.659224	153.757621	22.330107	34.816698	2	0
